"empresa","retorno","disclosure","endividamento","ativos","liquidez"
"1","Adidas",63.67,83,1.3,3967,14.3
"2","BASF",55.49,91,33.9,5450,16.8
"3","Bayer",52.42,77,36.1,4327,15.5
"4","BSH",54,90,20.8,4109,16.8
"5","Bosch",68.01,93,14.1,4458,17
"6","Daimler AG",64.13,90,45.2,6498,15.8
"7","Deutsche Bank",68.76,89,31.6,4993,16
"8","Faber-Castell",79.02,90,24.9,6352,16.5
"9","Group Technologies",84.64,98,31.5,9010,17
"10","Lufthansa",59.84,58,15.2,3189,15.8
"11","Puma",50.79,74,17.1,3476,16
"12","Siemens",47.46,81,64.9,4700,12.2
"13","ThyssenKrupp",36.06,46,47.3,3785,11
"14","Volkswagen",34.21,39,22.3,2901,12.6
"15","Opel",47.31,40,33.4,3872,12.6
"16","Deutsche Telekom",46.98,17,23.6,2597,12.2
"17","Wurth",34.54,54,2.4,3477,11.2
"18","DHL Express",38.82,27,25,2730,9.3
"19","BHP Billton",30.82,30,28.3,3390,9.2
"20","Holden",38.03,11,13.8,1851,10.4
"21","Qantas",31.92,18,19,3369,9.2
"22","Telstra",29.02,13,16.4,2509,9.5
"23","Bunge",31.04,20,30.4,2268,8.7
"24","Fortis",21.47,6,22.5,1938,9.8
"25","InBev",32.7,16,45.4,2239,8.6
"26","Stella Artois",32.61,7,19.6,1872,7.9
"27","Alpargatas",40.16,41,1.2,2996,10.5
"28","AmBev",42.32,35,16.8,3622,12.3
"29","Agrale",37.17,24,16.1,2972,9.7
"30","Aracruz Celulose",48.57,68,34.8,4691,8.9
"31","Azálea",33.66,14,40,2303,8
"32","Banco Itaú",56.14,83,23.9,3967,14.3
"33","Bematech",61.71,91,33.9,5450,16.8
"34","Bob's",54.43,77,36.1,4327,15.5
"35","Bradesco",71.84,90,20.8,4109,16.8
"36","Brahma",65.68,93,14.1,4458,17
"37","Caloi",72.57,90,45.2,6498,15.8
"38","CSN",62.36,89,31.6,4993,16
"39","Embraco",71.09,90,24.9,6352,16.5
"40","Embraer",86.18,98,31.5,9010,17
"41","EMS",60.9,58,15.2,3189,15.8
"42","Guararapes",56.33,74,17.1,3476,16
"43","Gerdau",44.19,81,2.4,4700,12.2
"44","Globo",44.62,46,47.3,3785,11
"45","Gradiente",38.49,39,22.3,2901,12.6
"46","Grupo Edson Queiroz",42.04,40,33.4,3872,12.6
"47","H. Stern",29.53,17,23.6,2597,12.2
"48","Klabin",51.6,54,31.7,3477,11.2
"49","Marcopolo",30.57,27,25,2730,9.3
"50","Natura",37.93,30,28.3,3390,9.2
"51","O Boticário",38.25,11,13.8,1851,10.4
"52","Odebrecht",27.52,18,19,3369,9.2
"53","Perdigão",39.04,13,37.8,2509,9.5
"54","Petrobras",37.86,20,30.4,2268,8.7
